question_id,question_text,option_A,option_B,option_C,option_D,correct_answer,section,category,difficulty,language
Q_0023,"AIIMS Trauma care protocols state that while moving an accident victim with suspected severe neck injury, you must:",Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,B,Section 115,first_aid,medium,en
Q_0024,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Honk continuously to force others ahead,Stop right in the middle of the intersection,Stop completely before the stop line,Accelerate as fast as possible to beat the light,C,Section 190(2),signals,medium,en
Q_0025,What is the legal consequence under Section 56 for permitting an unlicensed driver to operate your transport auto?,No penalty if owner is riding with them,Subject only to vehicle fitness checking,"Fine of ₹5,000 and owner prosecution",A minor warning fine of ₹500,C,Section 56,rules,easy,en
Q_0026,What is the regulatory action required under Section 119 for the 'Pedestrian Crossing' sign?,Applies only to heavy transport vehicles,Strict compliance is mandatory,It is only a recommendation,Applies only during night time,B,Section 128,signs,easy,en
Q_0027,"Under Section 56, driving a vehicle at a speed of 83 km/h in a State Highways speed limit zone of 40 km/h is:",An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Subject only to verbal warnings,Perfectly fine for private passenger cars,A,Section 56,rules,medium,en
Q_0028,What should you do when approaching an intersection where the traffic signal shows a steady 'Green' light?,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Proceed with speed if safe,D,Section 194,signals,easy,en
Q_0029,What is the regulatory action required under Section 119 for the 'One Way' sign?,Applies only during night time,It is only a recommendation,Applies only to heavy transport vehicles,Strict compliance is mandatory,D,Section 181,signs,hard,en
Q_0030,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Massage the area to restore blood flow,C,Section 181,first_aid,easy,en
Q_0031,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,Massage the area to restore blood flow,B,Section 194,first_aid,easy,en
Q_0032,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the police officer's hand signal,Follow the automatic green light,C,Section 129,signals,medium,en
Q_0033,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Slow down and prepare to stop,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,A,Section 5,signals,easy,en
Q_0034,"AIIMS Trauma care protocols state that while moving an accident victim with suspected bone fractures, you must:",Ask them to stand up and walk to test reflexes,Massage the area to restore blood flow,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,D,Section 194,first_aid,medium,en
Q_0035,"When you see the 'Horn Prohibited' warning sign, you must:",Accelerate quickly to bypass the zone,Stop the vehicle completely,Honk the horn continuously,Reduce speed and drive cautiously,D,Section 122,signs,medium,en
Q_0036,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,B,Section 56,first_aid,easy,en
Q_0037,"AIIMS Trauma care protocols state that while moving an accident victim with suspected head trauma, you must:",Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Massage the area to restore blood flow,C,Section 180,first_aid,easy,en
Q_0038,What does the traffic sign 'Cycle Crossing' represent?,Exemption from 'Cycle Crossing' rules,Information about 'Cycle Crossing' lane,Mandatory 'Cycle Crossing' restriction,Warning of 'Cycle Crossing' ahead,C,Section 3,signs,easy,en
Q_0039,"When you see the 'Hospital' warning sign, you must:",Stop the vehicle completely,Accelerate quickly to bypass the zone,Reduce speed and drive cautiously,Honk the horn continuously,C,Section 177,signs,medium,en
Q_0040,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Try to force them to stand up and walk around,Apply direct compression to bleeding or place in recovery position,Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,B,Section 184,first_aid,medium,en
Q_0041,"When you see the 'No Stopping' warning sign, you must:",Stop the vehicle completely,Accelerate quickly to bypass the zone,Honk the horn continuously,Reduce speed and drive cautiously,D,Section 185,signs,medium,en
Q_0042,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Stop and dispute with the officer,Take a U-turn immediately to avoid the intersection,Follow the police officer's hand signal,D,Section 39,signals,easy,en
Q_0043,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,Slow down and prepare to stop,D,Section 56,signals,easy,en
Q_0044,What does the traffic sign 'Steep Ascent' represent?,Exemption from 'Steep Ascent' rules,Information about 'Steep Ascent' lane,Warning of 'Steep Ascent' ahead,Mandatory 'Steep Ascent' restriction,D,Section 194A,signs,hard,en
Q_0045,"Under Section 112, driving a vehicle at a speed of 64 km/h in a State Highways speed limit zone of 40 km/h is:",An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,Subject only to verbal warnings,Permitted under emergency situations,A,Section 112,rules,hard,en
Q_0046,What is the regulatory action required under Section 119 for the 'Narrow Bridge' sign?,Applies only to heavy transport vehicles,It is only a recommendation,Applies only during night time,Strict compliance is mandatory,D,Section 194,signs,medium,en
Q_0047,"When you see the 'Road Work Ahead' warning sign, you must:",Reduce speed and drive cautiously,Honk the horn continuously,Stop the vehicle completely,Accelerate quickly to bypass the zone,A,Section 5,signs,easy,en
Q_0048,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,Stop completely before the stop line,D,Section 194A,signals,easy,en
Q_0049,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Massage the area to restore blood flow,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,C,Section 194A,first_aid,medium,en
Q_0050,"When you see the 'Overtaking Prohibited' warning sign, you must:",Stop the vehicle completely,Reduce speed and drive cautiously,Accelerate quickly to bypass the zone,Honk the horn continuously,B,Section 128,signs,medium,en
Q_0051,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Slow down and prepare to stop,D,Section 56,signals,easy,en
Q_0052,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,Apply direct pressure with clean sterile dressings,D,Section 56,first_aid,medium,en
Q_0053,"Under Section 39, driving a vehicle at a speed of 60 km/h in a National Highways speed limit zone of 40 km/h is:",An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Perfectly fine for private passenger cars,Subject only to verbal warnings,A,Section 39,rules,easy,en
Q_0054,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Slow down and prepare to stop,Accelerate as fast as possible to beat the light,Honk continuously to force others ahead,Stop right in the middle of the intersection,A,Section 134A,signals,hard,en
Q_0055,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Stop completely before the stop line,Accelerate as fast as possible to beat the light,Honk continuously to force others ahead,Stop right in the middle of the intersection,A,Section 129,signals,medium,en
Q_0056,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Apply direct pressure with clean sterile dressings,Give them hot tea or coffee to restore energy,Try to force them to stand up and walk around,B,Section 56,first_aid,easy,en
Q_0057,"In a motor accident on a highway, if a crash victim is bleeding heavily from limbs, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,Apply direct pressure with clean sterile dressings,D,Section 3,first_aid,hard,en
Q_0058,What is the legal consequence under Section 194 for permitting an unlicensed driver to operate your car?,"Fine of ₹5,000 and owner prosecution",A minor warning fine of ₹500,No penalty if owner is riding with them,Subject only to vehicle fitness checking,A,Section 194,rules,easy,en
Q_0059,"While driving on Ghat Roads, what is the standard right of way rules for intersection crossing?",Proceed with highest speed to clear early,Wait for signal from oncoming transport,Honk and claim priority,Yield to the traffic coming from the right/main carriage,D,Section 194,rules,hard,en
Q_0060,What does the traffic sign 'No Entry' represent?,Warning of 'No Entry' ahead,Exemption from 'No Entry' rules,Information about 'No Entry' lane,Mandatory 'No Entry' restriction,D,Section 184,signs,hard,en
Q_0061,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Stop completely before the stop line,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,A,Section 181,signals,easy,en
Q_0062,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Slow down and prepare to stop,D,Section 3,signals,hard,en
Q_0063,"AIIMS Trauma care protocols state that while moving an accident victim with suspected bone fractures, you must:",Massage the area to restore blood flow,Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,D,Section 5,first_aid,hard,en
Q_0064,"Under Section 39, driving a vehicle at a speed of 83 km/h in a Expressways speed limit zone of 60 km/h is:",An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Subject only to verbal warnings,Perfectly fine for private passenger cars,A,Section 39,rules,easy,en
Q_0065,What does the traffic sign 'U-Turn Prohibited' represent?,Information about 'U-Turn Prohibited' lane,Mandatory 'U-Turn Prohibited' restriction,Warning of 'U-Turn Prohibited' ahead,Exemption from 'U-Turn Prohibited' rules,B,Section 194,signs,medium,en
Q_0066,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Give them hot tea or coffee to restore energy,Try to force them to stand up and walk around,Apply direct compression to bleeding or place in recovery position,D,Section 3,first_aid,hard,en
Q_0067,"When you see the 'Steep Descent' warning sign, you must:",Honk the horn continuously,Reduce speed and drive cautiously,Accelerate quickly to bypass the zone,Stop the vehicle completely,B,Section 181,signs,medium,en
Q_0068,What is the legal consequence under Section 177 for permitting an unlicensed driver to operate your motorcycle?,A minor warning fine of ₹500,Subject only to vehicle fitness checking,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,C,Section 177,rules,medium,en
Q_0069,"While driving on School Zones, what is the standard right of way rules for stopping on a slope?",Honk and claim priority,Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,Wait for signal from oncoming transport,B,Section 122,rules,hard,en
Q_0070,What is the regulatory action required under Section 119 for the 'Overtaking Prohibited' sign?,It is only a recommendation,Strict compliance is mandatory,Applies only during night time,Applies only to heavy transport vehicles,B,Section 177,signs,medium,en
Q_0071,"AIIMS Trauma care protocols state that while moving an accident victim with suspected head trauma, you must:",Carry them over your shoulder immediately,Massage the area to restore blood flow,Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,D,Section 39,first_aid,medium,en
Q_0072,What is the regulatory action required under Section 119 for the 'Narrow Bridge' sign?,Applies only during night time,Strict compliance is mandatory,It is only a recommendation,Applies only to heavy transport vehicles,B,Section 4,signs,easy,en
Q_0073,"When you see the 'One Way' warning sign, you must:",Reduce speed and drive cautiously,Accelerate quickly to bypass the zone,Honk the horn continuously,Stop the vehicle completely,A,Section 194,signs,hard,en
Q_0074,What is the legal consequence under Section 129 for permitting an unlicensed driver to operate your motorcycle?,No penalty if owner is riding with them,"Fine of ₹5,000 and owner prosecution",Subject only to vehicle fitness checking,A minor warning fine of ₹500,B,Section 129,rules,hard,en
Q_0075,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Slow down and prepare to stop,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Honk continuously to force others ahead,A,Section 3,signals,easy,en
Q_0076,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Stop completely before the stop line,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,Honk continuously to force others ahead,A,Section 177,signals,easy,en
Q_0077,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Massage the area to restore blood flow,Ask them to stand up and walk to test reflexes,B,Section 185,first_aid,hard,en
Q_0078,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Stop right in the middle of the intersection,Honk continuously to force others ahead,Slow down and prepare to stop,Accelerate as fast as possible to beat the light,C,Section 185,signals,easy,en
Q_0079,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Stop and dispute with the officer,Follow the police officer's hand signal,Take a U-turn immediately to avoid the intersection,C,Section 190(2),signals,medium,en
Q_0080,"When you see the 'First Aid Post' warning sign, you must:",Honk the horn continuously,Reduce speed and drive cautiously,Stop the vehicle completely,Accelerate quickly to bypass the zone,B,Section 129,signs,medium,en
Q_0081,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,A,Section 119,signals,easy,en
Q_0082,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,B,Section 177,signals,hard,en
Q_0083,"When you see the 'First Aid Post' warning sign, you must:",Reduce speed and drive cautiously,Stop the vehicle completely,Accelerate quickly to bypass the zone,Honk the horn continuously,A,Section 180,signs,easy,en
Q_0084,What should you do when approaching an intersection where the traffic signal shows a steady 'Red' light?,Stop completely before the stop line,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Honk continuously to force others ahead,A,Section 134A,signals,hard,en
Q_0085,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Honk continuously to force others ahead,Stop completely before the stop line,D,Section 128,signals,hard,en
Q_0086,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,Try to force them to stand up and walk around,C,Section 134,first_aid,hard,en
Q_0087,"When you see the 'Cycle Crossing' warning sign, you must:",Reduce speed and drive cautiously,Accelerate quickly to bypass the zone,Honk the horn continuously,Stop the vehicle completely,A,Section 119,signs,hard,en
Q_0088,What does the traffic sign 'Steep Ascent' represent?,Information about 'Steep Ascent' lane,Warning of 'Steep Ascent' ahead,Mandatory 'Steep Ascent' restriction,Exemption from 'Steep Ascent' rules,C,Section 3,signs,easy,en
Q_0089,What does the traffic sign 'Steep Descent' represent?,Mandatory 'Steep Descent' restriction,Exemption from 'Steep Descent' rules,Information about 'Steep Descent' lane,Warning of 'Steep Descent' ahead,A,Section 194A,signs,hard,en
Q_0090,"Under Section 190(2), driving a vehicle at a speed of 58 km/h in a Ghat Roads speed limit zone of 40 km/h is:",Perfectly fine for private passenger cars,Permitted under emergency situations,Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,D,Section 190(2),rules,medium,en
Q_0091,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Follow the police officer's hand signal,Stop and dispute with the officer,Take a U-turn immediately to avoid the intersection,B,Section 185,signals,hard,en
Q_0092,"Under Section 39, driving a vehicle at a speed of 99 km/h in a Expressways speed limit zone of 80 km/h is:",Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,Permitted under emergency situations,B,Section 39,rules,easy,en
Q_0093,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Slow down and prepare to stop,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,A,Section 180,signals,medium,en
Q_0094,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,B,Section 3,signals,medium,en
Q_0095,What should you do when approaching an intersection where the traffic signal shows a steady 'Green' light?,Accelerate as fast as possible to beat the light,Proceed with speed if safe,Honk continuously to force others ahead,Stop right in the middle of the intersection,B,Section 129,signals,hard,en
Q_0096,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Slow down and prepare to stop,Honk continuously to force others ahead,C,Section 190(2),signals,easy,en
Q_0097,"When you see the 'Slippery Road' warning sign, you must:",Reduce speed and drive cautiously,Honk the horn continuously,Accelerate quickly to bypass the zone,Stop the vehicle completely,A,Section 177,signs,hard,en
Q_0098,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Slow down and prepare to stop,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Honk continuously to force others ahead,A,Section 4,signals,medium,en
Q_0099,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Apply direct compression to bleeding or place in recovery position,Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,A,Section 134,first_aid,medium,en
Q_0100,"In a motor accident on a highway, if a crash victim is bleeding heavily from limbs, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,B,Section 177,first_aid,hard,en
Q_0101,"AIIMS Trauma care protocols state that while moving an accident victim with suspected bone fractures, you must:",Massage the area to restore blood flow,Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,D,Section 128,first_aid,medium,en
Q_0102,"When you see the 'Resting Place' warning sign, you must:",Reduce speed and drive cautiously,Honk the horn continuously,Stop the vehicle completely,Accelerate quickly to bypass the zone,A,Section 112,signs,easy,en
Q_0103,What does the traffic sign 'No Parking' represent?,Information about 'No Parking' lane,Mandatory 'No Parking' restriction,Exemption from 'No Parking' rules,Warning of 'No Parking' ahead,B,Section 194A,signs,hard,en
Q_0104,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Follow the police officer's hand signal,Stop and dispute with the officer,Take a U-turn immediately to avoid the intersection,Follow the automatic green light,A,Section 3,signals,hard,en
Q_0105,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the automatic green light,Follow the police officer's hand signal,D,Section 184,signals,easy,en
Q_0106,What is the legal consequence under Section 134 for permitting an unlicensed driver to operate your heavy truck?,No penalty if owner is riding with them,A minor warning fine of ₹500,Subject only to vehicle fitness checking,"Fine of ₹5,000 and owner prosecution",D,Section 134,rules,medium,en
Q_0107,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,Carry them over your shoulder immediately,Massage the area to restore blood flow,B,Section 190(2),first_aid,easy,en
Q_0108,What is the regulatory action required under Section 119 for the 'Speed Limit 50' sign?,Strict compliance is mandatory,Applies only to heavy transport vehicles,It is only a recommendation,Applies only during night time,A,Section 112,signs,hard,en
Q_0109,"AIIMS Trauma care protocols state that while moving an accident victim with suspected bone fractures, you must:",Massage the area to restore blood flow,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,C,Section 129,first_aid,medium,en
Q_0110,What is the legal consequence under Section 194A for permitting an unlicensed driver to operate your transport auto?,No penalty if owner is riding with them,"Fine of ₹5,000 and owner prosecution",A minor warning fine of ₹500,Subject only to vehicle fitness checking,B,Section 194A,rules,medium,en
Q_0111,"Under Section 190(2), driving a vehicle at a speed of 68 km/h in a Expressways speed limit zone of 50 km/h is:",Perfectly fine for private passenger cars,An overspeeding offense carrying a heavy fine,Subject only to verbal warnings,Permitted under emergency situations,B,Section 190(2),rules,easy,en
Q_0112,What does the traffic sign 'Narrow Bridge' represent?,Warning of 'Narrow Bridge' ahead,Mandatory 'Narrow Bridge' restriction,Information about 'Narrow Bridge' lane,Exemption from 'Narrow Bridge' rules,B,Section 190(2),signs,hard,en
Q_0113,"In a motor accident on a highway, if a crash victim is bleeding heavily from limbs, the Good Samaritan should first:",Try to force them to stand up and walk around,Apply direct pressure with clean sterile dressings,Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,B,Section 134A,first_aid,easy,en
Q_0114,What is the legal consequence under Section 39 for permitting an unlicensed driver to operate your heavy truck?,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,Subject only to vehicle fitness checking,A minor warning fine of ₹500,A,Section 39,rules,easy,en
Q_0115,What is the legal consequence under Section 134 for permitting an unlicensed driver to operate your car?,Subject only to vehicle fitness checking,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,A minor warning fine of ₹500,B,Section 134,rules,medium,en
Q_0116,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Apply direct pressure with clean sterile dressings,Try to force them to stand up and walk around,Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,A,Section 184,first_aid,easy,en
Q_0117,"While driving on Urban Roads, what is the standard right of way rules for changing lanes?",Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,Honk and claim priority,B,Section 177,rules,hard,en
Q_0118,"While driving on National Highways, what is the standard right of way rules for intersection crossing?",Proceed with highest speed to clear early,Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,Honk and claim priority,C,Section 5,rules,easy,en
Q_0119,"Under Section 194, driving a vehicle at a speed of 94 km/h in a State Highways speed limit zone of 60 km/h is:",Subject only to verbal warnings,Permitted under emergency situations,An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,C,Section 194,rules,medium,en
Q_0120,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Stabilize the affected area and avoid bending the spine/joints,Massage the area to restore blood flow,Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,A,Section 185,first_aid,medium,en
Q_0121,What does the traffic sign 'Compulsory Left Turn' represent?,Warning of 'Compulsory Left Turn' ahead,Exemption from 'Compulsory Left Turn' rules,Information about 'Compulsory Left Turn' lane,Mandatory 'Compulsory Left Turn' restriction,D,Section 181,signs,easy,en
Q_0122,"Under Section 112, driving a vehicle at a speed of 88 km/h in a Ghat Roads speed limit zone of 60 km/h is:",An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Subject only to verbal warnings,Perfectly fine for private passenger cars,A,Section 112,rules,hard,en
Q_0123,"When you see the 'Steep Ascent' warning sign, you must:",Stop the vehicle completely,Honk the horn continuously,Reduce speed and drive cautiously,Accelerate quickly to bypass the zone,C,Section 185,signs,hard,en
